Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Услуги по по добровольному страхованию автотранспорта;2021-04-07 12:00:00;2021-04-19 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде каналов связи;2021-04-05 13:00:00;2021-04-05 16:33:24;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Система безопасности сетевых устройств;2021-03-31 09:00:00;2021-04-06 18:27:42;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги автомобильного транспорта по перевозкам грузов (кроме перевозки нефтепродуктов, замороженных или охлажденных грузов, жидких или газообразных грузов, животных, почты и грузов в контейнерах);2021-04-02 16:30:00;2021-04-07 16:25:33;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-04-12 09:00:00;2021-04-14 17:22:42;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
товаров;2021-04-08 09:00:00;2021-04-14 12:38:01;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по охране административного здания (г. Алматы) - повтор;2021-04-02 09:00:00;2021-04-02 13:05:21;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
медикаменты ;2021-03-31 09:00:00;2021-04-07 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию противопожарных средств/инвентаря/оборудования (кроме систем безопасности);2021-03-29 09:00:00;2021-03-30 11:40:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по вывозу твердо-бытовых отходов (г. Алматы);2021-04-07 11:00:00;2021-04-14 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Фильтр;2021-04-05 09:00:00;2021-04-07 13:21:43;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по аренде административных/производственных помещений;2021-04-01 19:30:00;2021-04-01 21:04:27;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Бензин для двигателей с искровым зажиганием;2021-03-31 09:00:00;2021-03-31 14:53:51;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по перевозкам легковым автотранспортом;2021-03-29 09:00:00;2021-03-30 12:50:27;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги доступа к сети Интернет (Оплата за поддержание IP адресов (4 адреса)) (г. Нур-Султан) и Оплаты за услуги IP VPN (г.Нур - Султан);2021-04-05 10:00:00;2021-04-07 10:49:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по страхованию жизни работников;2021-04-07 09:00:00;2021-04-15 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Картриджи;2021-04-02 10:00:00;2021-04-09 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги прачечные и химчистки;2021-03-29 10:00:00;2021-04-01 13:15:19;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-04-07 09:00:00;2021-04-12 11:02:45;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Вода в таре  объемом 18,9л для работников БСБ в здании Туркестанского филиала РГУ НБРК;2021-03-31 09:00:00;2021-04-07 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Шланги;2021-04-05 09:00:00;2021-04-05 10:54:36;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги автобусов по городским и пригородным перевозкам пассажиров по расписанию;2021-04-02 09:00:00;2021-04-02 10:12:55;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по мойке автотранспорта/спецтехники для Атырауского областного филиала АО «ЕНПФ» по Лотам №№ 1, 2 на 2021 год;2021-03-29 10:00:00;2021-03-29 17:17:16;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Электронные закупки картриджей для ЦА АО «ЕНПФ» на 2021 год;2021-03-31 09:00:00;2021-03-31 10:51:41;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупка канцелярских товаров;2021-04-02 14:00:00;2021-04-05 13:01:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Бензин для двигателей с искровым зажиганием для филиалов и центрального аппарата акционерного общества «Единый накопительный пенсионный фонд» по лотам №№1-6,8-10,12,15,18 на 2021 год;2021-03-25 09:00:00;2021-03-25 12:46:09;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по перевозкам легковым автотранспортом;2021-03-29 09:00:00;2021-03-31 19:19:39;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по обучению персонала/сотрудников;2021-04-02 09:00:00;2021-04-05 09:40:56;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Вода в таре  объемом 18,9л для работников БСБ в здании Северо-Казахстанского филиала РГУ НБРК;2021-03-31 09:00:00;2021-03-31 16:26:47;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги телефонной связи;2020-12-23 09:00:00;2020-12-31 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки на приобретения спирта этилового, технического, йод и бинта стерильного;2021-02-22 09:00:00;2021-02-24 18:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по гарантийному и сервисному техническому обслуживанию и ремонту автомобилей - повтор;2021-03-29 10:00:00;2021-04-05 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Вода в таре  объемом 18,9л для работников БСБ в здании Павлодарского филиала РГУ НБРК;2021-03-31 09:00:00;2021-04-07 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
О закупках  услуг  телекоммуникационных ;2021-04-02 11:00:00;2021-04-02 17:29:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки краски на водной основе, краски алкидной, полуматовой,  краски для дорожной разметки автомобильных дорог, растворителя для лакокрасочных материалов, марки 646, клея ПВА;2021-03-26 09:00:00;2021-03-26 11:09:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-19 09:00:00;2021-03-19 12:41:32;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Консультационные услуги по формированию концепции по развитию платежных систем;2021-03-29 09:00:00;2021-04-09 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Бензин для двигателей с искровым зажиганием;2021-03-31 09:00:00;2021-04-02 12:58:51;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки бланочной продукции;2021-04-02 09:00:00;2021-04-06 11:44:20;Завершено;"БИК: NBRKKZKX, ИИК: KZ74125KZTN005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту нежилых зданий/сооружений/помещений;2021-03-25 09:00:00;2021-04-05 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по ускоренной/курьерской почтовой связи;2021-03-19 09:00:00;2021-03-19 16:57:40;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по перевозкам легковым автотранспортом;2021-03-29 09:00:00;2021-03-29 12:38:56;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Вода в таре  объемом 18,9л для работников БСБ в здании Акмолинского филиала РГУ НБРК;2021-03-31 09:00:00;2021-03-31 10:39:35;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги по эстетическому оформлению;2021-04-02 09:00:00;2021-04-08 10:27:32;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по пересылке регистрируемых почтовых отправлений;2021-03-25 09:00:00;2021-03-26 14:47:55;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по аренде административных/производственных помещений;2021-03-19 09:00:00;2021-03-19 12:22:13;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Расходные материалы для принтера Mimaki UJF-6042 Mkll;2021-03-30 14:30:00;2021-04-08 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по перевозкам легковым автотранспортом;2021-03-29 09:00:00;2021-03-29 13:01:58;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации (подготовка и размещение информационных материалов в печатных изданиях);2021-03-19 20:00:00;2021-04-02 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Письмо приглашение по закупке полотенец для рук из бумаги для РФ в г.Семей;2021-03-19 09:00:00;2021-03-19 14:50:19;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупки тележки ручной, четырехколесной, батареи свинцово- кислотной, аккумуляторной;2021-04-05 09:00:00;2021-04-07 10:36:35;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Лампа бактерицидная;2021-04-02 10:00:00;2021-04-09 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по изучению/исследованию/мониторингу/анализу рынка/деятельности;2021-03-29 09:00:00;2021-04-05 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Скотч;2021-03-25 12:00:00;2021-03-25 12:34:25;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-19 09:00:00;2021-03-19 13:03:43;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по мойке окон фасада (ЦФ НБРК) ;2021-04-02 10:00:00;2021-04-09 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по перевозкам легковым автотранспортом;2021-03-29 09:00:00;2021-04-05 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупки покрытия рулонного, из полимера, клея кафельного,  сердцевины для врезного замка, замка врезного, лески;2021-04-05 09:00:00;2021-04-07 10:18:30;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по перевозкам легковым автотранспортом;2021-03-25 09:00:00;2021-03-29 10:41:13;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по производству телевизионных программ;2021-03-18 20:00:00;2021-04-02 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Салфетка;2021-04-01 15:00:00;2021-04-02 11:49:10;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;2021-03-29 09:00:00;2021-04-06 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-03-31 09:00:00;2021-03-31 11:39:52;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Вентилятор;2021-03-25 09:00:00;2021-04-01 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-19 09:00:00;2021-03-19 12:49:50;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Работы по изготовлению символов/наград и нагрудных знаков/флагов;2021-03-26 16:00:00;2021-03-26 17:19:28;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Система IP-видеонаблюдения не производственных помещений с установкой;2021-04-02 09:00:00;2021-04-12 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по заправке техническими газами/жидкостями;2021-03-31 10:00:00;2021-03-31 15:20:19;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Письмо приглашение по закупке канцелярских товаров по лотам №№1-14 для РФ в г.Семей;2021-03-19 17:00:00;2021-03-25 20:04:48;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по обучению персонала/сотрудников (семинары, тренинги по бухгалтерскому учету в соответствии с МСФО) для АО «ЕНПФ» на 2021 год;2021-03-19 09:00:00;2021-03-25 13:25:39;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Клиентские лицензии лицензионного программного обеспечения 1С;2021-03-29 09:00:00;2021-04-05 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Батарейка;2021-04-02 09:00:00;2021-04-05 17:02:18;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Бланочная продукция;2021-03-19 16:00:00;2021-03-23 09:18:41;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Услуги по подписке на печатные периодические издания для Атырауского ОФ АО ""ЕНПФ"" по Лотам №№ 1-9 на 2021 год";2021-03-19 09:00:00;2021-03-30 12:50:46;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупки моющих и дезинфицирующих средств;2021-01-21 09:00:00;2021-01-22 18:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому сопровождению автотранспортных средств и спецтехники;2021-03-29 09:00:00;2021-04-02 17:40:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Летняя автошина для автомобиля;2021-04-02 09:00:00;2021-04-02 10:15:04;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по аренде административных/производственных помещений;2021-03-25 09:00:00;2021-03-25 17:44:32;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по модернизации информационной системы;2021-03-18 20:00:00;2021-04-02 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Расходные материалы для 3Д принтера;2021-03-30 13:00:00;2021-04-07 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-29 09:00:00;2021-03-29 18:16:29;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Пылесос;2021-04-02 09:00:00;2021-04-09 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по перевозкам легковым автотранспортом;2021-03-25 09:00:00;2021-03-26 15:15:50;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по заправке техническими газами/жидкостями;2021-03-19 09:00:00;2021-03-30 17:24:44;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
